Body 205: x=-9.435398, y=1.244199, z=-0.287199
Body 206: x=-5.737450, y=-11.778145, z=-1.880200
Body 207: x=11.329617, y=7.017021, z=-3.080697
Body 208: x=-11.445106, y=-5.273906, z=-3.749741
Body 209: x=6.376808, y=8.964595, z=-5.016670
Body 210: x=-7.142563, y=6.726684, z=-6.331438
Body 211: x=-1.195450, y=-4.099384, z=-11.325739
Body 212: x=2.925202, y=13.236282, z=3.363926
Body 213: x=-4.798835, y=-2.050430, z=5.892270
Body 214: x=11.384342, y=1.468338, z=-3.436277
Body 215: x=4.616364, y=5.672314, z=8.954763
Body 216: x=9.303031, y=6.932866, z=-3.895802
Body 217: x=9.042634, y=-1.627283, z=-6.813614
Body 218: x=-7.659789, y=2.721019, z=11.166937
Body 219: x=-4.321133, y=-7.437207, z=-7.008945
Body 220: x=2.046005, y=-12.606519, z=2.119378
Body 221: x=-1.005776, y=7.271661, z=10.350864
Body 222: x=7.759208, y=3.028160, z=-8.025992
Body 223: x=3.460827, y=-1.645125, z=-8.363037
Body 224: x=-6.808195, y=0.755482, z=3.062194
Body 225: x=-3.420124, y=4.548934, z=13.435664
Body 226: x=-12.305382, y=3.133445, z=5.762107
Body 227: x=3.058375, y=-5.786219, z=-1.207372
Body 228: x=-3.564883, y=13.552377, z=-3.949049
Body 229: x=7.172923, y=5.906664, z=-7.236732
Body 230: x=-0.648075, y=1.736342, z=-15.921781
Body 231: x=-1.746698, y=1.999583, z=14.822800
Body 232: x=15.752115, y=-4.695753, z=-2.969922
Body 233: x=-4.133638, y=-4.803537, z=11.700782
Body 234: x=15.250137, y=1.474193, z=-0.794469
Body 235: x=-5.330517, y=2.819787, z=-3.592076
Body 236: x=1.999851, y=-0.081719, z=-0.095963
Body 237: x=10.788901, y=3.258421, z=-4.637406
Body 238: x=-0.428128, y=-3.292220, z=-2.163106
Body 239: x=-13.740772, y=3.939520, z=1.278631
Body 240: x=-6.025062, y=-9.058442, z=-1.717804
Body 241: x=-0.716665, y=-10.940758, z=8.242128
Body 242: x=-14.358309, y=-0.469496, z=-2.430157
Body 243: x=-0.516003, y=-0.242583, z=11.206841
Body 244: x=8.158932, y=10.853287, z=0.268555
Body 245: x=-2.584559, y=4.099821, z=-0.442336
Body 246: x=-4.848314, y=2.727874, z=12.255675
Body 247: x=6.019871, y=2.244291, z=-12.734746
Body 248: x=7.517936, y=-1.327381, z=-0.149169
Body 249: x=-4.292084, y=-7.779114, z=-1.431504
Body 250: x=-5.137002, y=-6.020874, z=0.316747
Body 251: x=5.486443, y=-7.680657, z=-1.824820
Body 252: x=-6.917847, y=-3.870771, z=5.467265
Body 253: x=-6.241587, y=-2.599626, z=-10.498575
Body 254: x=-8.693833, y=-3.036872, z=2.469176
Body 255: x=-0.371632, y=0.854206, z=6.296594
Body 256: x=3.329953, y=-7.963526, z=-9.900296
Body 257: x=-4.210808, y=10.400022, z=4.962791
Body 258: x=2.542349, y=-3.328288, z=4.975532
Body 259: x=-8.225481, y=-3.087487, z=-10.347447
Body 260: x=-5.735467, y=-1.567396, z=8.780325
Body 261: x=5.661442, y=-6.537436, z=-5.941187
Body 262: x=0.352637, y=-0.269192, z=12.149021
Body 263: x=1.145201, y=-9.184008, z=-1.454377
Body 264: x=6.837491, y=10.894821, z=3.544085
Body 265: x=-3.041132, y=10.281187, z=-7.974142
Body 266: x=-5.530384, y=5.452855, z=2.979817
Body 267: x=-1.233744, y=12.021336, z=2.098566
Body 268: x=-3.098875, y=2.914727, z=-4.625957
Body 269: x=-3.931944, y=5.558529, z=-7.513236
Body 270: x=3.497475, y=12.137823, z=5.753645
Body 271: x=-4.147501, y=-4.001537, z=1.884772
Body 272: x=-8.461609, y=-3.202325, z=-9.483246
Body 273: x=5.886302, y=11.075610, z=3.860081
Body 274: x=-3.535602, y=-13.594069, z=-2.708132
Body 275: x=-1.059747, y=10.941910, z=-8.185141
Body 276: x=-8.669773, y=-8.711091, z=0.831459
Body 277: x=8.819595, y=-4.813165, z=0.990620
Body 278: x=-11.299496, y=2.825646, z=-7.437039
Body 279: x=-2.783434, y=-6.633504, z=9.651089
Body 280: x=2.492497, y=-7.438848, z=-9.372925
Body 281: x=-9.376521, y=0.727162, z=9.934045
Body 282: x=9.834909, y=-8.953803, z=-1.884762
Body 283: x=1.462605, y=-10.320832, z=8.666626
Body 284: x=1.149180, y=-8.082359, z=11.432918
Body 285: x=0.382028, y=0.687480, z=7.070086
Body 286: x=-2.775270, y=-1.520587, z=5.470240
Body 287: x=0.726269, y=6.966771, z=-10.538738
Body 288: x=-4.132115, y=-10.600255, z=-6.022678
Body 289: x=7.343232, y=-2.756434, z=10.190782
Body 290: x=0.549662, y=-4.351599, z=-5.899355
Body 291: x=-1.223794, y=-4.001734, z=-11.855647
Body 292: x=-7.567124, y=-4.732942, z=8.593847
Body 293: x=-5.470639, y=-5.023363, z=-5.498508
Body 294: x=-7.049199, y=-4.463477, z=-3.491018
Body 295: x=11.572449, y=3.794844, z=-1.685482
Body 296: x=9.134574, y=-0.974488, z=1.813022
Body 297: x=12.305394, y=3.772068, z=-0.410147
Body 298: x=-8.214957, y=-5.773347, z=6.494465
Body 299: x=-2.848586, y=5.495261, z=1.048189
Body 300: x=7.583820, y=5.534138, z=-1.781553
Body 301: x=1.187570, y=4.898139, z=11.116096
Body 302: x=-2.248469, y=0.674028, z=-8.998320
Body 303: x=-1.026833, y=-1.897779, z=-6.933085
Body 304: x=1.388005, y=-7.779000, z=-1.290439
Body 305: x=4.656317, y=3.411159, z=-10.876384
Body 306: x=4.258358, y=-1.507254, z=4.638575
Body 307: x=8.612823, y=8.899609, z=3.259504
Body 308: x=-6.982395, y=-4.601461, z=1.937218
Body 309: x=-6.301086, y=-8.647778, z=1.553356
Body 310: x=9.843173, y=-7.041387, z=-4.121278
Body 311: x=11.503907, y=7.500012, z=0.150675
Body 312: x=9.587731, y=-0.879443, z=-9.497526
Body 313: x=7.889008, y=6.796416, z=-4.586453
Body 314: x=13.929908, y=-5.280112, z=-11.363496
Body 315: x=12.294205, y=-5.400321, z=-2.221243
Body 316: x=-8.919517, y=-6.224840, z=2.216054
Body 317: x=5.111476, y=9.706413, z=-1.299255
Body 318: x=-0.937062, y=2.134321, z=10.034838
Body 319: x=8.154335, y=6.973874, z=4.056651
Body 320: x=-8.473958, y=-3.976307, z=-6.982413
Body 321: x=-13.331244, y=0.459110, z=2.653858
Body 322: x=0.602308, y=14.494745, z=-2.337590
Body 323: x=-13.664433, y=1.877847, z=-1.398799
Body 324: x=-10.088873, y=-5.464690, z=-7.632700
Body 325: x=6.588598, y=-3.572108, z=5.599650
Body 326: x=-3.970525, y=8.078213, z=3.952007
Body 327: x=-0.067357, y=-12.010948, z=7.919260
Body 328: x=6.736989, y=-9.826954, z=-2.889362
Body 329: x=1.850356, y=-8.559887, z=-5.118903
Body 330: x=-5.239387, y=7.704055, z=6.499868
Body 331: x=-6.171110, y=-9.134547, z=-2.313136
Body 332: x=8.773616, y=2.118593, z=6.339938
Body 333: x=-0.639268, y=-4.945890, z=12.730783
Body 334: x=2.977443, y=-6.897599, z=-8.940825
Body 335: x=-1.710576, y=-4.771598, z=12.036010
Body 336: x=5.419545, y=-1.820372, z=7.329884
Body 337: x=9.623902, y=-7.921762, z=-0.543009
Body 338: x=-1.530862, y=-2.962385, z=-6.193921
Body 339: x=-2.906535, y=6.485923, z=-11.057976
Body 340: x=1.322358, y=-5.019323, z=-7.889571
Body 341: x=-6.447451, y=-4.133224, z=8.376517
Body 342: x=7.756274, y=-5.035896, z=-0.833400
Body 343: x=-5.599543, y=-3.707119, z=3.638681
Body 344: x=-1.950952, y=-13.672008, z=5.277983
Body 345: x=-1.002294, y=10.327609, z=7.975907
Body 346: x=-14.426606, y=2.714387, z=3.298960
Body 347: x=-12.521315, y=-0.290926, z=-3.372161
