Body 191: x=-0.487495, y=3.171994, z=-0.281292
Body 192: x=-2.993756, y=-6.079333, z=0.425087
Body 193: x=-5.871694, y=0.782584, z=-7.942686
Body 194: x=-3.072793, y=7.987575, z=5.828444
Body 195: x=6.513477, y=3.380563, z=-7.903435
Body 196: x=-7.274746, y=-0.383307, z=-0.718788
Body 197: x=-13.146181, y=-5.269119, z=5.338365
Body 198: x=8.169420, y=-0.263412, z=-10.136549
Body 199: x=7.234591, y=4.706518, z=1.099947
Body 200: x=-6.976587, y=0.364973, z=-11.653659
Body 201: x=-7.909095, y=2.894047, z=-0.665004
Body 202: x=-10.803465, y=-0.443009, z=-1.884885
Body 203: x=-0.719340, y=12.589742, z=-4.621618
Body 204: x=-6.458690, y=9.105439, z=-3.585085
Body 205: x=-9.435319, y=1.244193, z=-0.287201
Body 206: x=-5.737443, y=-11.778132, z=-1.880181
Body 207: x=11.329775, y=7.017010, z=-3.080655
Body 208: x=-11.445231, y=-5.273856, z=-3.749804
Body 209: x=6.376806, y=8.964646, z=-5.016596
Body 210: x=-7.142501, y=6.726649, z=-6.331474
Body 211: x=-1.195445, y=-4.099384, z=-11.325733
Body 212: x=2.925185, y=13.236003, z=3.363903
Body 213: x=-4.798869, y=-2.050402, z=5.892367
Body 214: x=11.384350, y=1.468358, z=-3.436264
Body 215: x=4.616354, y=5.672391, z=8.954789
Body 216: x=9.302933, y=6.932845, z=-3.895763
Body 217: x=9.042611, y=-1.627277, z=-6.813575
Body 218: x=-7.659755, y=2.720980, z=11.166928
Body 219: x=-4.321170, y=-7.437177, z=-7.008970
Body 220: x=2.046031, y=-12.606410, z=2.119371
Body 221: x=-1.005772, y=7.271479, z=10.350850
Body 222: x=7.759077, y=3.028167, z=-8.025915
Body 223: x=3.460850, y=-1.645132, z=-8.363002
Body 224: x=-6.808167, y=0.755481, z=3.062211
Body 225: x=-3.420117, y=4.548916, z=13.435746
Body 226: x=-12.305473, y=3.133402, z=5.762002
Body 227: x=3.058348, y=-5.786177, z=-1.207380
Body 228: x=-3.564861, y=13.552445, z=-3.949055
Body 229: x=7.172964, y=5.906762, z=-7.236803
Body 230: x=-0.648077, y=1.736331, z=-15.921808
Body 231: x=-1.746708, y=1.999609, z=14.822871
Body 232: x=15.751945, y=-4.695736, z=-2.969935
Body 233: x=-4.133677, y=-4.803489, z=11.700710
Body 234: x=15.250328, y=1.474185, z=-0.794471
Body 235: x=-5.330482, y=2.819805, z=-3.592083
Body 236: x=1.999853, y=-0.081721, z=-0.095964
Body 237: x=10.788769, y=3.258419, z=-4.637427
Body 238: x=-0.428131, y=-3.292195, z=-2.163132
Body 239: x=-13.740648, y=3.939532, z=1.278629
Body 240: x=-6.025111, y=-9.058394, z=-1.717830
Body 241: x=-0.716663, y=-10.940759, z=8.242149
Body 242: x=-14.358213, y=-0.469494, z=-2.430155
Body 243: x=-0.516010, y=-0.242585, z=11.206764
Body 244: x=8.158889, y=10.853219, z=0.268552
Body 245: x=-2.584574, y=4.099829, z=-0.442340
Body 246: x=-4.848344, y=2.727855, z=12.255760
Body 247: x=6.019829, y=2.244294, z=-12.734726
Body 248: x=7.517883, y=-1.327385, z=-0.149166
Body 249: x=-4.292093, y=-7.779169, z=-1.431515
Body 250: x=-5.136962, y=-6.020879, z=0.316752
Body 251: x=5.486376, y=-7.680782, z=-1.824800
Body 252: x=-6.917822, y=-3.870718, z=5.467312
Body 253: x=-6.241568, y=-2.599585, z=-10.498576
Body 254: x=-8.693933, y=-3.036903, z=2.469144
Body 255: x=-0.371635, y=0.854205, z=6.296455
Body 256: x=3.329963, y=-7.963438, z=-9.900235
Body 257: x=-4.210814, y=10.399850, z=4.962775
Body 258: x=2.542329, y=-3.328261, z=4.975528
Body 259: x=-8.225426, y=-3.087507, z=-10.347456
Body 260: x=-5.735521, y=-1.567402, z=8.780249
Body 261: x=5.661424, y=-6.537400, z=-5.941211
Body 262: x=0.352626, y=-0.269193, z=12.149043
Body 263: x=1.145205, y=-9.184118, z=-1.454369
Body 264: x=6.837492, y=10.894874, z=3.544083
Body 265: x=-3.041174, y=10.281267, z=-7.974187
Body 266: x=-5.530351, y=5.452873, z=2.979820
Body 267: x=-1.233753, y=12.021311, z=2.098599
Body 268: x=-3.098906, y=2.914731, z=-4.625973
Body 269: x=-3.931975, y=5.558462, z=-7.513059
Body 270: x=3.497501, y=12.137842, z=5.753585
Body 271: x=-4.147549, y=-4.001493, z=1.884759
Body 272: x=-8.461656, y=-3.202339, z=-9.483207
Body 273: x=5.886296, y=11.075700, z=3.860122
Body 274: x=-3.535590, y=-13.594172, z=-2.708102
Body 275: x=-1.059754, y=10.941886, z=-8.185280
Body 276: x=-8.669765, y=-8.711063, z=0.831464
Body 277: x=8.819639, y=-4.813211, z=0.990631
Body 278: x=-11.299410, y=2.825628, z=-7.437080
Body 279: x=-2.783432, y=-6.633502, z=9.651131
Body 280: x=2.492506, y=-7.438875, z=-9.372988
Body 281: x=-9.376474, y=0.727162, z=9.934034
Body 282: x=9.834971, y=-8.953884, z=-1.884750
Body 283: x=1.462584, y=-10.320854, z=8.666640
Body 284: x=1.149184, y=-8.082312, z=11.432872
Body 285: x=0.382032, y=0.687489, z=7.070095
Body 286: x=-2.775273, y=-1.520591, z=5.470186
Body 287: x=0.726261, y=6.966770, z=-10.538822
Body 288: x=-4.132085, y=-10.600065, z=-6.022729
Body 289: x=7.343160, y=-2.756438, z=10.190758
Body 290: x=0.549661, y=-4.351555, z=-5.899325
Body 291: x=-1.223776, y=-4.001670, z=-11.855603
Body 292: x=-7.567175, y=-4.732972, z=8.593936
Body 293: x=-5.470551, y=-5.023376, z=-5.498549
Body 294: x=-7.049198, y=-4.463471, z=-3.491051
Body 295: x=11.572448, y=3.794879, z=-1.685481
Body 296: x=9.134532, y=-0.974498, z=1.812994
Body 297: x=12.305411, y=3.772052, z=-0.410149
Body 298: x=-8.215003, y=-5.773321, z=6.494517
Body 299: x=-2.848592, y=5.495337, z=1.048186
Body 300: x=7.583831, y=5.534108, z=-1.781533
Body 301: x=1.187557, y=4.898128, z=11.116180
Body 302: x=-2.248508, y=0.674034, z=-8.998307
Body 303: x=-1.026842, y=-1.897804, z=-6.933110
Body 304: x=1.387987, y=-7.778959, z=-1.290438
Body 305: x=4.656345, y=3.411136, z=-10.876441
Body 306: x=4.258362, y=-1.507258, z=4.638564
Body 307: x=8.612943, y=8.899600, z=3.259512
Body 308: x=-6.982369, y=-4.601420, z=1.937187
Body 309: x=-6.301077, y=-8.647734, z=1.553339
Body 310: x=9.843287, y=-7.041456, z=-4.121293
Body 311: x=11.503922, y=7.499973, z=0.150671
Body 312: x=9.587728, y=-0.879441, z=-9.497644
Body 313: x=7.888947, y=6.796453, z=-4.586459
Body 314: x=13.930047, y=-5.280167, z=-11.363462
Body 315: x=12.294217, y=-5.400313, z=-2.221240
Body 316: x=-8.919475, y=-6.224780, z=2.216089
Body 317: x=5.111504, y=9.706382, z=-1.299259
Body 318: x=-0.937110, y=2.134320, z=10.034877
Body 319: x=8.154309, y=6.973810, z=4.056682
