Body 175: x=-3.081897, y=-2.754334, z=4.232321
Body 176: x=-2.570592, y=-1.089254, z=4.453007
Body 177: x=-0.806567, y=-4.270887, z=-0.703774
Body 178: x=3.990259, y=-4.792342, z=-0.187818
Body 179: x=-3.621536, y=2.969425, z=-2.757075
Body 180: x=-3.685424, y=2.996038, z=-2.058109
Body 181: x=3.542786, y=2.384317, z=-0.822810
Body 182: x=-1.710739, y=1.569739, z=-5.569844
Body 183: x=-6.182605, y=-0.928484, z=-0.669909
Body 184: x=-0.571112, y=-4.212019, z=4.848250
Body 185: x=5.595845, y=-1.351259, z=1.450892
Body 186: x=5.041315, y=-2.773571, z=1.733175
Body 187: x=0.033181, y=-4.488298, z=3.625648
Body 188: x=2.649895, y=4.851367, z=0.496652
Body 189: x=-3.438744, y=-4.592119, z=0.707027
Body 190: x=2.271376, y=1.096426, z=-5.338677
Body 191: x=-0.157450, y=1.667742, z=-0.196415
Body 192: x=-1.442990, y=-3.495979, z=0.498302
Body 193: x=-2.728362, y=0.584950, z=-3.477128
Body 194: x=-1.263126, y=3.627273, z=2.815856
Body 195: x=2.653229, y=2.248359, z=-4.628443
Body 196: x=-3.609800, y=-0.617927, z=-0.359512
Body 197: x=-4.073537, y=-2.878907, z=1.946782
Body 198: x=3.729996, y=-0.077838, z=-4.708744
Body 199: x=3.273692, y=1.925820, z=0.458536
Body 200: x=-2.929408, y=0.160179, z=-5.299911
Body 201: x=-3.398369, y=1.364470, z=-0.453907
Body 202: x=-5.061646, y=-0.124741, z=-0.814702
Body 203: x=-0.428437, y=5.826578, z=-2.327287
Body 204: x=-2.821104, y=4.047108, z=-1.715427
Body 205: x=-4.384689, y=0.581347, z=-0.214711
Body 206: x=-2.621630, y=-5.685169, z=-0.885205
Body 207: x=5.051062, y=3.167834, z=-1.344752
Body 208: x=-5.134092, y=-2.328488, z=-1.841942
Body 209: x=3.017090, y=4.196446, z=-2.244779
Body 210: x=-3.139983, y=2.565360, z=-2.885307
Body 211: x=-0.537259, y=-1.660154, z=-5.287395
Body 212: x=1.253215, y=6.152865, z=1.300907
Body 213: x=-2.602691, y=-0.849871, z=2.702695
Body 214: x=5.688096, y=0.487662, z=-1.698897
Body 215: x=2.258171, y=2.679686, z=3.966839
Body 216: x=4.130565, y=3.289697, z=-1.376244
Body 217: x=4.143560, y=-0.835994, z=-3.085789
Body 218: x=-3.428301, y=1.102243, z=4.850676
Body 219: x=-1.910496, y=-3.506715, z=-3.309788
Body 220: x=0.817405, y=-6.066411, z=1.208917
Body 221: x=-0.695651, y=3.307124, z=4.821182
Body 222: x=3.418489, y=1.160555, z=-3.360919
Body 223: x=1.287027, y=-0.618456, z=-3.911927
Body 224: x=-3.160934, y=0.195563, z=1.313965
Body 225: x=-1.463714, y=2.003803, z=6.175570
Body 226: x=-5.628901, y=1.189986, z=2.588782
Body 227: x=1.352080, y=-2.482911, z=-0.517865
Body 228: x=-1.586009, y=6.313472, z=-1.802167
Body 229: x=3.173145, y=2.535624, z=-3.412271
Body 230: x=-0.657987, y=1.008402, z=-7.649793
Body 231: x=-0.948210, y=1.104836, z=6.699948
Body 232: x=8.696684, y=-1.754860, z=-3.830896
Body 233: x=-1.820111, y=-2.092810, z=5.318743
Body 234: x=7.191794, y=0.640578, z=-0.331101
Body 235: x=-2.495784, y=0.982583, z=-1.705455
Body 236: x=0.913262, y=0.231875, z=0.025902
Body 237: x=4.886469, y=1.548833, z=-2.241148
Body 238: x=-0.379336, y=-1.438725, z=-1.083279
Body 239: x=-6.643283, y=1.054087, z=-0.166489
Body 240: x=-2.532519, y=-4.277646, z=-0.628565
Body 241: x=0.028363, y=-5.370471, z=3.652775
Body 242: x=-6.701816, y=-0.161912, z=-1.343090
Body 243: x=-0.178578, y=-0.121220, z=5.065534
Body 244: x=3.623088, y=4.887803, z=0.277915
Body 245: x=-0.790674, y=1.843631, z=-0.065015
Body 246: x=-1.877675, y=1.529053, z=5.692412
Body 247: x=2.585445, y=0.953596, z=-5.849753
Body 248: x=3.596552, y=-0.701898, z=0.055280
Body 249: x=-1.444944, y=-3.025097, z=-0.480379
Body 250: x=-2.376104, y=-2.731740, z=0.204169
Body 251: x=2.567323, y=-4.579928, z=-1.075652
Body 252: x=-3.193167, y=-1.767775, z=2.355284
Body 253: x=-2.703403, y=-1.056994, z=-4.930923
Body 254: x=-4.279249, y=-1.195989, z=1.165170
Body 255: x=-0.028555, y=0.344299, z=2.982589
Body 256: x=1.069372, y=-2.606280, z=-3.912282
Body 257: x=-1.668108, y=4.842594, z=2.078813
Body 258: x=0.981815, y=-1.703299, z=2.478811
Body 259: x=-3.737880, y=-1.312013, z=-4.711041
Body 260: x=-2.746012, y=-0.560831, z=4.179345
Body 261: x=2.549544, y=-3.228038, z=-2.684230
Body 262: x=-1.089708, y=0.578148, z=5.154910
Body 263: x=0.416756, y=-4.270308, z=-0.600112
Body 264: x=3.024979, y=4.974671, z=1.435705
Body 265: x=-1.418671, y=4.685983, z=-3.557864
Body 266: x=-2.420676, y=2.305293, z=1.161304
Body 267: x=-0.720613, y=5.601533, z=0.884314
Body 268: x=-1.637852, y=1.203791, z=-2.252456
Body 269: x=-1.672361, y=2.308362, z=-3.386467
Body 270: x=1.507390, y=5.581096, z=2.403738
Body 271: x=-2.182015, y=-1.971422, z=0.959116
Body 272: x=-3.656994, y=-1.284538, z=-4.442121
Body 273: x=2.647344, y=5.360633, z=1.767775
Body 274: x=-1.657944, y=-5.862634, z=-1.342678
Body 275: x=-0.504846, y=4.880115, z=-3.760221
Body 276: x=-4.057357, y=-4.112671, z=0.405502
Body 277: x=4.190416, y=-1.684724, z=0.257493
Body 278: x=-5.063290, y=1.045923, z=-3.439301
Body 279: x=-1.250464, y=-2.929527, z=4.643623
Body 280: x=1.416743, y=-2.912790, z=-4.926069
Body 281: x=-4.400889, y=0.373250, z=4.242296
Body 282: x=4.673998, y=-4.055149, z=-0.746060
Body 283: x=0.556184, y=-4.917769, z=3.728832
Body 284: x=0.450886, y=-3.598357, z=5.236553
Body 285: x=0.339768, y=0.360177, z=3.303972
Body 286: x=-1.341664, y=-0.501717, z=2.521166
Body 287: x=0.379753, y=3.205922, z=-5.011570
Body 288: x=-1.598413, y=-4.899186, z=-2.505783
Body 289: x=2.961169, y=-1.473265, z=4.704717
Body 290: x=0.366102, y=-2.172454, z=-2.953235
Body 291: x=-0.567311, y=-1.538079, z=-5.354889
Body 292: x=-3.418461, y=-2.431834, z=4.047856
Body 293: x=-2.470881, y=-2.266278, z=-2.368569
Body 294: x=-3.299816, y=-1.856871, z=-1.531298
Body 295: x=5.566211, y=1.664690, z=-0.999937
Body 296: x=4.437604, y=-0.075503, z=0.718306
Body 297: x=5.717056, y=1.520326, z=-0.215380
Body 298: x=-3.697358, y=-2.485162, z=3.024419
Body 299: x=-1.724563, y=2.385575, z=0.420363
Body 300: x=3.237463, y=2.663378, z=-1.050548
Body 301: x=0.747990, y=2.266263, z=5.707015
Body 302: x=-0.989737, y=0.234921, z=-4.017941
Body 303: x=-0.325394, y=-1.208235, z=-3.403874
Body 304: x=0.399695, y=-3.744746, z=-0.112978
Body 305: x=2.564669, y=1.281645, z=-5.073943
Body 306: x=1.940426, y=-0.493303, z=2.137649
Body 307: x=3.796084, y=4.104722, z=1.321362
Body 308: x=-3.389428, y=-2.247459, z=0.454322
Body 309: x=-2.734604, y=-4.038604, z=0.745207
Body 310: x=4.093152, y=-3.064075, z=-1.830917
Body 311: x=5.184062, y=3.307299, z=0.274038
Body 312: x=4.249104, y=-0.413711, z=-4.347134
Body 313: x=3.552866, y=3.334300, z=-1.917280
Body 314: x=8.539349, y=-4.213343, z=-6.980957
Body 315: x=5.707180, y=-2.431928, z=-0.981438
Body 316: x=-4.517447, y=-2.837064, z=1.926587
Body 317: x=2.025692, y=4.866796, z=-0.773393
Body 318: x=-3.798041, y=2.183475, z=4.729343
Body 319: x=3.981643, y=3.060165, z=1.759071
Body 320: x=-3.490373, y=-1.660433, z=-3.077854
Body 321: x=-6.296024, y=0.125302, z=0.872745
Body 322: x=0.171782, y=6.822289, z=-0.931561
Body 323: x=-6.613598, y=0.979602, z=-0.285772
Body 324: x=-5.236911, y=-3.999919, z=-3.743161
Body 325: x=2.947230, y=-1.589774, z=2.681399
Body 326: x=-1.735895, y=3.566325, z=2.160219
Body 327: x=-0.367113, y=-5.428474, z=3.537958
Body 328: x=2.968443, y=-4.754269, z=-1.340384
Body 329: x=0.559858, y=-4.353820, z=-2.250004
Body 330: x=-2.338647, y=3.802809, z=2.949827
Body 331: x=-2.718163, y=-4.330697, z=-1.247014
Body 332: x=4.015360, y=0.575465, z=2.737484
Body 333: x=-0.779242, y=-3.136934, z=6.596089
Body 334: x=1.540772, y=-3.024200, z=-4.200400
Body 335: x=-1.044997, y=-1.975530, z=5.476643
Body 336: x=2.623890, y=-0.749613, z=3.349774
Body 337: x=4.484824, y=-3.671627, z=-0.414866
Body 338: x=-0.443862, y=-1.220307, z=-2.883183
Body 339: x=-0.790265, y=2.699067, z=-4.670686
Body 340: x=0.940834, y=-2.109159, z=-3.473697
Body 341: x=-2.900911, y=-1.574553, z=3.857460
Body 342: x=4.294351, y=-2.083945, z=-1.329935
Body 343: x=-2.660049, y=-1.811187, z=1.668253
Body 344: x=-1.123816, y=-6.489502, z=2.210962
Body 345: x=-0.475216, y=4.772105, z=3.742968
Body 346: x=-6.823674, y=1.065849, z=1.324112
Body 347: x=-6.225739, y=-0.151675, z=-1.435032
Body 348: x=2.032337, y=-5.092880, z=0.541752
Body 349: x=1.951293, y=-5.913639, z=-4.196335
Body 350: x=1.701172, y=5.004642, z=1.739573
Body 351: x=-4.578488, y=-0.061598, z=3.320822
Body 352: x=2.947936, y=-0.131055, z=5.602284
Body 353: x=-0.840514, y=0.569780, z=5.941479
Body 354: x=-2.251809, y=-4.369900, z=2.382075
Body 355: x=-2.098786, y=2.993368, z=-3.895203
Body 356: x=-3.603060, y=0.364832, z=-5.048461
Body 357: x=-0.724850, y=-2.092728, z=4.283102
Body 358: x=-2.035730, y=4.814131, z=-1.520816
Body 359: x=2.943144, y=-4.682886, z=-1.601612
Body 360: x=2.832582, y=4.661787, z=-1.885790
Body 361: x=-1.234887, y=4.610688, z=-0.360005
Body 362: x=3.595074, y=-1.789427, z=-4.109704
Body 363: x=-0.450638, y=7.068304, z=-0.093128
Body 364: x=3.240958, y=5.779823, z=-0.801170
Body 365: x=1.595782, y=-2.923182, z=3.844987
Body 366: x=4.847355, y=-1.299393, z=-0.373750
Body 367: x=-4.725772, y=1.209004, z=0.565784
Body 368: x=4.179502, y=2.620731, z=-1.870348
Body 369: x=1.839482, y=-1.516613, z=-0.951194
Body 370: x=-3.605014, y=-1.412886, z=-3.398340
Body 371: x=0.434608, y=-4.843605, z=0.236483
Body 372: x=-2.185151, y=0.095822, z=5.196040
Body 373: x=-3.530962, y=1.116365, z=-4.979851
Body 374: x=1.806652, y=1.635536, z=4.334615
Body 375: x=-3.675746, y=3.809307, z=1.505388
Body 376: x=-1.139173, y=-0.716449, z=-3.550561
Body 377: x=-2.980732, y=1.246007, z=-2.808093
Body 378: x=0.448870, y=-1.243298, z=4.772642
Body 379: x=6.948423, y=0.189603, z=-0.453671
Body 380: x=-1.021354, y=3.104125, z=-4.062776
Body 381: x=-3.883033, y=-0.496219, z=-0.611631
Body 382: x=-5.902688, y=1.056046, z=0.048168
Body 383: x=-1.159782, y=-4.747907, z=-0.663333
