Body 85: x=2.406196, y=-5.586622, z=-0.478512
Body 86: x=-4.708103, y=-1.828191, z=-2.443642
Body 87: x=-4.592779, y=1.761325, z=-3.509695
Body 88: x=-2.769007, y=-3.142269, z=2.069693
Body 89: x=-2.604941, y=-3.116756, z=-3.668007
Body 90: x=-2.960502, y=-0.909534, z=2.212255
Body 91: x=-2.072336, y=-0.043657, z=-3.900875
Body 92: x=-4.262895, y=3.772524, z=-1.639543
Body 93: x=4.468709, y=0.786240, z=2.406875
Body 94: x=-0.861300, y=-3.888821, z=-1.038498
Body 95: x=4.152260, y=3.975270, z=-0.736087
Body 96: x=-0.969272, y=-5.296879, z=-1.900339
Body 97: x=-2.835289, y=-2.916327, z=-2.770981
Body 98: x=2.744190, y=0.276180, z=-5.681027
Body 99: x=4.643900, y=-0.629308, z=-3.233544
Body 100: x=-2.103438, y=-5.431356, z=1.737311
Body 101: x=-1.699600, y=4.816447, z=0.558494
Body 102: x=2.446459, y=-0.953918, z=-4.210107
Body 103: x=-1.673734, y=-0.366749, z=-1.981034
Body 104: x=-0.262195, y=2.133690, z=6.703286
Body 105: x=-0.797359, y=-2.236879, z=-4.490998
Body 106: x=0.120516, y=-3.524221, z=-1.355555
Body 107: x=-3.923487, y=0.954533, z=-4.107936
Body 108: x=-4.149730, y=2.912796, z=-2.562726
Body 109: x=3.076251, y=1.436165, z=3.252661
Body 110: x=3.042732, y=1.405396, z=-4.678016
Body 111: x=0.630339, y=-1.274838, z=-5.588804
Body 112: x=1.418820, y=0.133368, z=0.638520
Body 113: x=-0.454304, y=2.188741, z=5.982277
Body 114: x=0.701209, y=-4.813344, z=3.765480
Body 115: x=-1.874447, y=1.300472, z=-4.880393
Body 116: x=-2.659141, y=-3.097556, z=-1.767168
Body 117: x=-2.641868, y=2.465968, z=-3.237105
Body 118: x=3.872712, y=2.169387, z=2.101218
Body 119: x=-2.268322, y=-2.988435, z=3.130711
Body 120: x=-0.876098, y=4.096478, z=-0.389550
Body 121: x=-0.229474, y=-1.094844, z=-2.946454
Body 122: x=-0.190805, y=5.119716, z=-3.441464
Body 123: x=1.131219, y=2.330886, z=-2.088600
Body 124: x=-2.139257, y=1.847256, z=3.372891
Body 125: x=5.092741, y=-2.539092, z=-1.693677
Body 126: x=-0.066977, y=-3.909612, z=2.201806
Body 127: x=-5.439817, y=-0.968577, z=-0.215985
Body 128: x=1.070062, y=1.103581, z=6.071557
Body 129: x=2.760482, y=-2.224205, z=-4.027560
Body 130: x=2.688757, y=0.010676, z=-5.198047
Body 131: x=-1.625199, y=-1.066495, z=5.513994
Body 132: x=0.318829, y=-2.946286, z=-3.385470
Body 133: x=-1.494893, y=-4.544669, z=3.818564
Body 134: x=2.001963, y=1.724745, z=-3.563970
Body 135: x=2.460452, y=-4.804970, z=-2.046767
Body 136: x=1.983088, y=-1.735834, z=0.371921
Body 137: x=-0.605695, y=3.983252, z=5.118038
Body 138: x=3.464820, y=-5.540377, z=-1.103853
Body 139: x=1.919551, y=-5.623050, z=-2.109551
Body 140: x=0.655182, y=3.662561, z=0.970918
Body 141: x=6.243957, y=-0.420216, z=2.839235
Body 142: x=-2.630468, y=-1.730837, z=-5.178039
Body 143: x=-0.253014, y=2.689849, z=-5.157267
Body 144: x=-1.725468, y=-2.802786, z=-0.421073
Body 145: x=-4.738626, y=2.242733, z=-2.449988
Body 146: x=-3.622350, y=0.991611, z=-2.543886
Body 147: x=-2.716125, y=-1.483364, z=-0.007241
Body 148: x=-0.655871, y=5.941736, z=-1.328629
Body 149: x=3.012281, y=-2.422500, z=-3.480913
Body 150: x=1.121807, y=3.935536, z=-3.649938
Body 151: x=3.356977, y=2.029196, z=-1.488563
Body 152: x=-1.921853, y=-4.557272, z=2.877965
Body 153: x=-4.329588, y=2.392507, z=-1.447339
Body 154: x=-2.192134, y=6.249137, z=-0.275326
Body 155: x=1.292679, y=4.015608, z=-3.288912
Body 156: x=0.610005, y=1.539789, z=-1.517604
Body 157: x=-0.605536, y=4.578768, z=-2.654355
Body 158: x=1.245023, y=2.743732, z=-0.861589
Body 159: x=-5.195220, y=-1.475012, z=0.500533
Body 160: x=2.946901, y=-0.690491, z=2.228434
Body 161: x=-0.091271, y=3.467740, z=-4.115398
Body 162: x=5.475141, y=-2.989759, z=1.070922
