Body 188: x=2.649894, y=4.851323, z=0.496653
Body 189: x=-3.438723, y=-4.592110, z=0.707020
Body 190: x=2.271359, y=1.096427, z=-5.338691
Body 191: x=-0.157449, y=1.667751, z=-0.196415
Body 192: x=-1.442997, y=-3.496015, z=0.498303
Body 193: x=-2.728366, y=0.584946, z=-3.477119
Body 194: x=-1.263137, y=3.627230, z=2.815845
Body 195: x=2.653221, y=2.248370, z=-4.628457
Body 196: x=-3.609772, y=-0.617928, z=-0.359508
Body 197: x=-4.073551, y=-2.878929, z=1.946770
Body 198: x=3.730005, y=-0.077839, z=-4.708725
Body 199: x=3.273704, y=1.925835, z=0.458537
Body 200: x=-2.929439, y=0.160180, z=-5.299899
Body 201: x=-3.398372, y=1.364475, z=-0.453905
Body 202: x=-5.061604, y=-0.124739, z=-0.814690
Body 203: x=-0.428443, y=5.826557, z=-2.327286
Body 204: x=-2.821089, y=4.047097, z=-1.715432
Body 205: x=-4.384695, y=0.581348, z=-0.214713
Body 206: x=-2.621642, y=-5.685128, z=-0.885200
Body 207: x=5.051052, y=3.167854, z=-1.344745
Body 208: x=-5.134104, y=-2.328503, z=-1.841957
Body 209: x=3.017097, y=4.196471, z=-2.244762
Body 210: x=-3.140002, y=2.565376, z=-2.885325
Body 211: x=-0.537257, y=-1.660146, z=-5.287378
Body 212: x=1.253223, y=6.152801, z=1.300907
Body 213: x=-2.602712, y=-0.849861, z=2.702712
Body 214: x=5.688104, y=0.487661, z=-1.698888
Body 215: x=2.258156, y=2.679703, z=3.966856
Body 216: x=4.130512, y=3.289705, z=-1.376224
Body 217: x=4.143555, y=-0.835993, z=-3.085792
Body 218: x=-3.428320, y=1.102244, z=4.850644
Body 219: x=-1.910500, y=-3.506737, z=-3.309760
Body 220: x=0.817399, y=-6.066335, z=1.208925
Body 221: x=-0.695651, y=3.307132, z=4.821236
Body 222: x=3.418476, y=1.160543, z=-3.360904
Body 223: x=1.287046, y=-0.618458, z=-3.911909
Body 224: x=-3.160909, y=0.195562, z=1.313960
Body 225: x=-1.463712, y=2.003796, z=6.175642
Body 226: x=-5.628890, y=1.189995, z=2.588766
Body 227: x=1.352075, y=-2.482890, z=-0.517867
Body 228: x=-1.586015, y=6.313510, z=-1.802164
Body 229: x=3.173171, y=2.535642, z=-3.412282
Body 230: x=-0.657990, y=1.008397, z=-7.649827
Body 231: x=-0.948213, y=1.104843, z=6.700007
Body 232: x=8.696692, y=-1.754836, z=-3.830886
Body 233: x=-1.820091, y=-2.092781, z=5.318739
Body 234: x=7.191787, y=0.640578, z=-0.331103
Body 235: x=-2.495769, y=0.982584, z=-1.705450
Body 236: x=0.913265, y=0.231874, z=0.025902
Body 237: x=4.886480, y=1.548831, z=-2.241140
Body 238: x=-0.379340, y=-1.438721, z=-1.083283
Body 239: x=-6.643141, y=1.054076, z=-0.166493
Body 240: x=-2.532519, y=-4.277596, z=-0.628570
Body 241: x=0.028369, y=-5.370504, z=3.652760
Body 242: x=-6.701773, y=-0.161912, z=-1.343093
Body 243: x=-0.178579, y=-0.121217, z=5.065516
Body 244: x=3.623084, y=4.887815, z=0.277913
Body 245: x=-0.790671, y=1.843623, z=-0.065016
Body 246: x=-1.877659, y=1.529060, z=5.692427
Body 247: x=2.585427, y=0.953601, z=-5.849720
Body 248: x=3.596546, y=-0.701903, z=0.055281
Body 249: x=-1.444952, y=-3.025106, z=-0.480383
Body 250: x=-2.376071, y=-2.731729, z=0.204169
Body 251: x=2.567293, y=-4.579895, z=-1.075647
Body 252: x=-3.193172, y=-1.767768, z=2.355312
Body 253: x=-2.703419, y=-1.056978, z=-4.930926
Body 254: x=-4.279273, y=-1.195997, z=1.165168
Body 255: x=-0.028556, y=0.344300, z=2.982577
Body 256: x=1.069370, y=-2.606268, z=-3.912234
Body 257: x=-1.668089, y=4.842598, z=2.078804
Body 258: x=0.981802, y=-1.703297, z=2.478799
Body 259: x=-3.737891, y=-1.312021, z=-4.711029
Body 260: x=-2.745985, y=-0.560826, z=4.179305
Body 261: x=2.549541, y=-3.228042, z=-2.684255
Body 262: x=-1.089711, y=0.578148, z=5.154863
Body 263: x=0.416759, y=-4.270325, z=-0.600112
Body 264: x=3.024971, y=4.974670, z=1.435720
Body 265: x=-1.418695, y=4.686026, z=-3.557884
Body 266: x=-2.420665, y=2.305292, z=1.161318
Body 267: x=-0.720618, y=5.601543, z=0.884327
Body 268: x=-1.637857, y=1.203783, z=-2.252452
Body 269: x=-1.672355, y=2.308309, z=-3.386454
Body 270: x=1.507407, y=5.581112, z=2.403738
Body 271: x=-2.182037, y=-1.971416, z=0.959114
Body 272: x=-3.657025, y=-1.284538, z=-4.442101
Body 273: x=2.647332, y=5.360648, z=1.767780
Body 274: x=-1.657955, y=-5.862642, z=-1.342682
Body 275: x=-0.504845, y=4.880123, z=-3.760276
Body 276: x=-4.057338, y=-4.112669, z=0.405504
Body 277: x=4.190392, y=-1.684720, z=0.257492
Body 278: x=-5.063253, y=1.045917, z=-3.439274
Body 279: x=-1.250462, y=-2.929521, z=4.643626
Body 280: x=1.416737, y=-2.912806, z=-4.926074
Body 281: x=-4.400847, y=0.373248, z=4.242270
Body 282: x=4.674027, y=-4.055161, z=-0.746052
Body 283: x=0.556183, y=-4.917815, z=3.728830
Body 284: x=0.450889, y=-3.598374, z=5.236537
Body 285: x=0.339767, y=0.360177, z=3.303972
Body 286: x=-1.341666, y=-0.501724, z=2.521178
Body 287: x=0.379752, y=3.205883, z=-5.011593
Body 288: x=-1.598424, y=-4.899170, z=-2.505783
Body 289: x=2.961153, y=-1.473256, z=4.704722
Body 290: x=0.366097, y=-2.172454, z=-2.953228
Body 291: x=-0.567306, y=-1.538065, z=-5.354877
Body 292: x=-3.418458, y=-2.431833, z=4.047876
Body 293: x=-2.470877, y=-2.266288, z=-2.368578
Body 294: x=-3.299814, y=-1.856856, z=-1.531305
Body 295: x=5.566193, y=1.664700, z=-0.999949
