Body 244: x=-0.901668, y=-0.957102, z=-0.038616
Body 245: x=0.201151, y=-0.291943, z=-0.037996
Body 246: x=0.531794, y=-0.350683, z=-0.904913
Body 247: x=-0.709100, y=-0.350349, z=1.008329
Body 248: x=-0.543251, y=0.161458, z=-0.011533
Body 249: x=0.238024, y=0.498735, z=0.114513
Body 250: x=0.446521, y=0.502532, z=-0.063361
Body 251: x=-0.472092, y=0.452494, z=0.190235
Body 252: x=0.593367, y=0.379936, z=-0.451204
Body 253: x=0.566276, y=0.343571, z=0.815199
Body 254: x=0.636357, y=0.282197, z=-0.275664
Body 255: x=0.009451, y=-0.061874, z=-0.501751
Body 256: x=-0.522992, y=0.884559, z=0.881443
Body 257: x=0.536388, y=-0.889079, z=-0.639585
Body 258: x=-0.251076, y=0.268893, z=-0.399192
Body 259: x=0.779724, y=0.449992, z=0.917177
Body 260: x=0.509777, y=0.220312, z=-0.663092
Body 261: x=-0.553024, y=0.633411, z=0.568118
Body 262: x=0.318898, y=-0.172957, z=-0.793407
Body 263: x=-0.073450, y=0.671151, z=0.148102
Body 264: x=-0.847661, y=-0.975001, z=-0.578270
Body 265: x=0.478298, y=-0.951164, z=0.862904
Body 266: x=0.488765, y=-0.466161, z=-0.337283
Body 267: x=0.162555, y=-0.808844, z=-0.229586
Body 268: x=0.238357, y=-0.232981, z=0.373792
Body 269: x=0.368197, y=-0.543284, z=0.634065
Body 270: x=-0.577483, y=-0.985470, z=-0.768040
Body 271: x=0.324727, y=0.288501, z=-0.137338
Body 272: x=0.900816, y=0.517939, z=0.916076
Body 273: x=-0.636129, y=-0.884557, z=-0.466436
Body 274: x=0.336729, y=0.880098, z=0.304659
Body 275: x=0.163918, y=-0.917458, z=0.845421
Body 276: x=0.714702, y=0.702691, z=-0.056342
Body 277: x=-0.707716, y=0.560952, z=-0.173018
Body 278: x=0.964906, y=-0.413948, z=0.809511
Body 279: x=0.336412, y=0.650444, z=-0.788489
Body 280: x=-0.538039, y=0.795156, z=0.944078
Body 281: x=0.952538, y=-0.084264, z=-0.965268
Body 282: x=-0.804761, y=0.795384, z=0.265820
Body 283: x=-0.293712, y=0.958650, z=-0.915946
Body 284: x=-0.142788, y=0.803532, z=-0.941787
Body 285: x=-0.079740, y=-0.083437, z=-0.505392
Body 286: x=0.206379, y=0.166483, z=-0.418623
Body 287: x=-0.084020, y=-0.732083, z=0.869861
Body 288: x=0.689801, y=0.986426, z=0.812255
Body 289: x=-0.828377, y=0.369437, z=-0.907094
Body 290: x=-0.060713, y=0.348420, z=0.454072
Body 291: x=0.109536, y=0.429137, z=0.864499
Body 292: x=0.775391, y=0.596229, z=-0.804905
Body 293: x=0.488857, y=0.457829, z=0.471658
Body 294: x=0.600487, y=0.413306, z=0.363320
Body 295: x=-0.759098, y=-0.427571, z=0.149901
Body 296: x=-0.637011, y=0.105860, z=-0.188204
Body 297: x=-0.855334, y=-0.437835, z=0.058274
Body 298: x=0.814994, y=0.686273, z=-0.705870
Body 299: x=0.250536, y=-0.422128, z=-0.080881
Body 300: x=-0.594663, y=-0.497833, z=0.154689
Body 301: x=-0.072104, y=-0.429870, z=-0.733127
Body 302: x=0.191736, y=-0.047716, z=0.645812
Body 303: x=0.096311, y=0.097039, z=0.519502
Body 304: x=-0.093745, y=0.624227, z=0.104759
Body 305: x=-0.602365, y=-0.366580, z=0.878192
Body 306: x=-0.296663, y=0.106553, z=-0.334538
Body 307: x=-0.956143, y=-0.972019, z=-0.584635
Body 308: x=0.512897, y=0.384302, z=-0.195550
Body 309: x=0.549286, y=0.670999, z=-0.187630
Body 310: x=-0.959930, y=0.884008, z=0.703873
Body 311: x=-0.996406, y=-0.870332, z=-0.000917
Body 312: x=-0.877863, y=0.133735, z=0.853308
